Question,Question_Name,Group_1,Group_2,U_statistic,p_value,p_bonferroni,Significant
Q1,Accomplishment,CROWD,GPT-5,636.5,0.9003265141391474,1.0,No
Q1,Accomplishment,CROWD,LLaMA-8B,678.0,0.7376612739772445,1.0,No
Q1,Accomplishment,CROWD,Mistral-24B,538.0,0.19552093673893367,1.0,No
Q1,Accomplishment,GPT-5,LLaMA-8B,895.5,0.004335870636604212,0.026015223819625274,Yes
Q1,Accomplishment,GPT-5,Mistral-24B,205.0,2.127801313644818e-07,1.2766807881868908e-06,Yes
Q1,Accomplishment,LLaMA-8B,Mistral-24B,104.0,3.4943117844975056e-10,2.0965870706985032e-09,Yes
Q2,Effort,CROWD,GPT-5,886.5,0.0058179603066326165,0.0349077618397957,Yes
Q2,Effort,CROWD,LLaMA-8B,771.5,0.1618974179000774,0.9713845074004643,No
Q2,Effort,CROWD,Mistral-24B,931.5,0.00044545216015766213,0.002672712960945973,Yes
Q2,Effort,GPT-5,LLaMA-8B,111.0,7.506347912207743e-10,4.503808747324646e-09,Yes
Q2,Effort,GPT-5,Mistral-24B,848.0,0.0069353035139352115,0.04161182108361127,Yes
Q2,Effort,LLaMA-8B,Mistral-24B,1263.0,3.362585767062596e-13,2.0175514602375577e-12,Yes
Q3,Mental Demand,CROWD,GPT-5,1020.0,1.3318256426065176e-05,7.990953855639105e-05,Yes
Q3,Mental Demand,CROWD,LLaMA-8B,1016.5,2.8994754444878905e-05,0.00017396852666927344,Yes
Q3,Mental Demand,CROWD,Mistral-24B,976.0,0.0001822472037719614,0.0010934832226317684,Yes
Q3,Mental Demand,GPT-5,LLaMA-8B,504.0,0.09162402509133126,0.5497441505479875,No
Q3,Mental Demand,GPT-5,Mistral-24B,361.0,0.0005900471162422767,0.00354028269745366,Yes
Q3,Mental Demand,LLaMA-8B,Mistral-24B,608.0,0.6492059798986671,1.0,No
Q4,Controllability,CROWD,GPT-5,762.0,0.19703220799492438,1.0,No
Q4,Controllability,CROWD,LLaMA-8B,613.0,0.6954397195481744,1.0,No
Q4,Controllability,CROWD,Mistral-24B,672.5,0.7849520084026789,1.0,No
Q4,Controllability,GPT-5,LLaMA-8B,164.0,3.4294139317320774e-08,2.0576483590392463e-07,Yes
Q4,Controllability,GPT-5,Mistral-24B,267.5,1.343279191879325e-05,8.059675151275949e-05,Yes
Q4,Controllability,LLaMA-8B,Mistral-24B,826.0,0.041439722783341675,0.24863833670005003,No
Q5,Temporal Demand,CROWD,GPT-5,1062.0,1.2856499704764726e-06,7.713899822858835e-06,Yes
Q5,Temporal Demand,CROWD,LLaMA-8B,356.0,0.0009516688264814231,0.0057100129588885384,Yes
Q5,Temporal Demand,CROWD,Mistral-24B,1120.5,2.4850220567940682e-09,1.491013234076441e-08,Yes
Q5,Temporal Demand,GPT-5,LLaMA-8B,0.0,1.4866665238524822e-13,8.919999143114894e-13,Yes
Q5,Temporal Demand,GPT-5,Mistral-24B,869.0,0.0013128682738506234,0.00787720964310374,Yes
Q5,Temporal Demand,LLaMA-8B,Mistral-24B,1294.0,1.9514754880364993e-14,1.1708852928218995e-13,Yes
Q6,Satisfaction,CROWD,GPT-5,621.0,0.7634127652533529,1.0,No
Q6,Satisfaction,CROWD,LLaMA-8B,679.5,0.7250531736101844,1.0,No
Q6,Satisfaction,CROWD,Mistral-24B,598.5,0.5775159636736443,1.0,No
Q6,Satisfaction,GPT-5,LLaMA-8B,911.0,0.00242792441304779,0.01456754647828674,Yes
Q6,Satisfaction,GPT-5,Mistral-24B,555.0,0.2863271333571995,1.0,No
Q6,Satisfaction,LLaMA-8B,Mistral-24B,334.5,0.00032608901859573254,0.0019565341115743953,Yes
