Model,Question,Question_Name,Crowd_Med,CI_Med_Lo,CI_Med_Hi,Crowd_IQR,CI_IQR_Lo,CI_IQR_Hi,Agent_Med,Agent_IQR,ΔMed,ΔIQR,d(q),AlignScore,Med_Compat,IQR_Compat
GPT-5,Q1,Accomplishment,3.0,3.0,4.0,2.0,1.0,3.0,4.0,0.0,1.0,-2.0,1.5,0.2231,True,False
GPT-5,Q2,Effort,3.0,3.0,3.0,2.0,1.0,2.0,2.0,0.0,-1.0,-2.0,1.5,0.2231,False,False
GPT-5,Q3,Mental Demand,3.0,3.0,4.0,2.0,1.0,3.0,2.0,0.0,-1.0,-2.0,1.5,0.2231,False,False
GPT-5,Q4,Controllability,3.0,3.0,3.0,2.0,1.0,3.0,4.0,1.0,1.0,-1.0,1.0,0.3679,False,True
GPT-5,Q5,Temporal Demand,2.0,2.0,3.0,2.0,1.0,3.0,1.0,0.0,-1.0,-2.0,1.5,0.2231,False,False
GPT-5,Q6,Satisfaction,3.0,3.0,4.0,2.0,1.0,2.0249999999998636,4.0,0.0,1.0,-2.0,1.5,0.2231,True,False
GPT-5,Avg,Aggregate,,,,,,,,,,,1.4167,0.2472,0/6,0/6
LLaMA-8B,Q1,Accomplishment,3.0,3.0,4.0,2.0,1.0,3.0,4.0,0.0,1.0,-2.0,1.5,0.2231,True,False
LLaMA-8B,Q2,Effort,3.0,3.0,3.0,2.0,1.0,2.0,3.0,0.0,0.0,-2.0,1.0,0.3679,True,False
LLaMA-8B,Q3,Mental Demand,3.0,3.0,4.0,2.0,1.0,3.0,3.0,0.0,0.0,-2.0,1.0,0.3679,True,False
LLaMA-8B,Q4,Controllability,3.0,3.0,3.0,2.0,1.0,3.0,4.0,1.0,1.0,-1.0,1.0,0.3679,False,True
LLaMA-8B,Q5,Temporal Demand,2.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,0.0,-1.0,0.5,0.6065,True,True
LLaMA-8B,Q6,Satisfaction,3.0,3.0,4.0,2.0,1.0,2.0249999999998636,4.0,0.0,1.0,-2.0,1.5,0.2231,True,False
LLaMA-8B,Avg,Aggregate,,,,,,,,,,,1.0833,0.3594,0/6,0/6
Mistral-24B,Q1,Accomplishment,3.0,3.0,4.0,2.0,1.0,3.0,4.0,0.0,1.0,-2.0,1.5,0.2231,True,False
Mistral-24B,Q2,Effort,3.0,3.0,3.0,2.0,1.0,2.0,3.0,1.0,0.0,-1.0,0.5,0.6065,True,True
Mistral-24B,Q3,Mental Demand,3.0,3.0,4.0,2.0,1.0,3.0,3.0,0.0,0.0,-2.0,1.0,0.3679,True,False
Mistral-24B,Q4,Controllability,3.0,3.0,3.0,2.0,1.0,3.0,4.0,0.0,1.0,-2.0,1.5,0.2231,False,False
Mistral-24B,Q5,Temporal Demand,2.0,2.0,3.0,2.0,1.0,3.0,2.0,0.0,0.0,-2.0,1.0,0.3679,True,False
Mistral-24B,Q6,Satisfaction,3.0,3.0,4.0,2.0,1.0,2.0249999999998636,4.0,0.0,1.0,-2.0,1.5,0.2231,True,False
Mistral-24B,Avg,Aggregate,,,,,,,,,,,1.1667,0.3353,0/6,0/6
