session_id,education_level,accomplishment,effort_required,mental_demand,perceived_controllability,temporal_demand,frustration,trust
37,undergraduate,4.4286,3.0,3.0,3.8571,2.0,2.2857,4.0
38,graduate,3.8571,3.0,3.0,3.0,2.0,3.0,3.0
40,graduate,3.5714,3.0,2.7143,3.1429,2.0,3.0,3.1429
41,graduate,3.5714,3.1429,3.0,2.8571,2.1429,3.0,3.1429
45,undergraduate,4.4,4.0,4.0,3.0,2.0,3.0,3.2
47,undergraduate,5.0,4.0,4.0,3.0,2.4,2.8,4.0
50,undergraduate,4.0,4.0,4.0,3.0,3.0,3.0,4.0
55,undergraduate,5.0,4.0,4.0,4.0,2.2,2.0,4.0
59,undergraduate,5.0,3.4,3.4,4.0,2.0,2.0,4.4
67,undergraduate,2.0,4.0,4.2,2.0,3.0,4.0,2.0
73,undergraduate,3.0,4.0,4.0,2.2,2.6,3.8,3.0
123,graduate,4.8,3.0,2.8,3.8,2.0,2.0,4.0
125,graduate,2.0,3.2,3.0,2.4,2.0,4.0,2.0
127,graduate,4.0,3.25,3.25,3.25,2.0,2.75,3.75
129,undergraduate,3.0,4.0,4.0,2.6667,2.6667,4.0,3.0
131,undergraduate,4.6667,4.0,4.0,3.6667,2.0,3.0,3.6667
137,undergraduate,5.0,3.6667,4.0,3.3333,2.0,2.0,4.0
143,graduate,3.6667,3.6667,3.3333,3.0,2.0,3.0,3.0
153,graduate,3.8,3.4,3.2,3.0,2.0,3.0,3.2
154,graduate,2.0,3.4,3.4,2.0,2.0,4.0,2.2
156,graduate,3.8,2.8,2.6,3.2,1.8,2.0,4.0
166,graduate,3.0,2.6,2.6,2.8,2.0,3.0,2.6
170,graduate,4.0,3.4,3.4,3.0,2.0,2.8,3.0
172,high_school,2.0,4.0,4.0,2.2,2.8,4.0,2.0
180,graduate,1.8,3.2,3.2,2.2,2.0,4.0,2.0
188,high_school,1.8,4.0,4.0,2.0,2.8,4.2,2.0
198,high_school,2.0,4.0,4.0,2.2,2.8,4.0,2.0
214,high_school,3.4,4.0,4.4,2.2,2.6,4.0,3.0
215,high_school,1.4,4.0,5.0,2.0,3.0,4.6,2.0
219,high_school,5.0,3.4,3.4,4.4,2.0,1.0,5.0
221,high_school,4.6,4.0,4.0,3.2,2.4,3.0,4.0
228,undergraduate,4.6,4.0,4.0,3.4,2.0,2.8,4.0
229,undergraduate,3.4,4.0,3.8,3.0,2.0,3.2,3.0
237,undergraduate,2.0,3.8,4.0,2.6,2.0,4.0,2.6
239,graduate,4.6,3.0,2.8,4.0,2.0,2.0,4.0
241,graduate,4.0,3.0,3.0,3.2,2.0,2.0,3.6
242,graduate,4.8,3.0,2.6,4.0,2.0,2.0,4.0
244,graduate,4.6,3.0,2.8,3.0,2.0,2.4,3.8
246,graduate,2.0,3.6,3.2,2.2,2.0,4.0,2.2
250,graduate,4.4,2.8,2.8,4.0,2.0,2.0,4.0
251,graduate,2.0,3.8,3.6,2.0,2.4,4.0,2.2
254,graduate,2.0,3.0,3.0,2.8,2.0,4.0,2.2
265,undergraduate,2.0,4.0,4.2,2.8,3.0,4.0,3.0
268,undergraduate,4.4,3.4,3.8,3.4,2.0,2.8,4.0
269,undergraduate,4.8,3.0,3.6,4.0,2.0,2.0,4.2
278,undergraduate,3.0,4.0,4.0,3.0,2.2,3.4,3.0
285,undergraduate,4.0,4.0,4.0,3.0,2.4,3.0,3.6
288,high_school,5.0,4.0,4.0,4.0,2.0,2.6,4.0
289,high_school,2.4,4.0,4.2,2.0,2.8,4.0,2.2
293,undergraduate,2.0,4.0,4.2,2.0,2.8,4.0,2.0
849,graduate,3.4,3.8,3.8,2.4,2.2,3.6,2.8
855,undergraduate,5.0,3.4,3.6,4.0,2.0,2.0,4.4
861,undergraduate,2.0,4.0,4.0,3.0,2.0,4.0,3.0
863,graduate,3.0,3.6,3.6,2.8,2.0,3.0,3.0
877,undergraduate,4.4,3.8,4.0,3.6,2.0,2.0,4.0
