Question,Question_Name,Group_1,Group_2,U_statistic,p_value,p_bonferroni,Significant_bonf
Q1,Accomplishment,CROWD,GPT-5,1793.0,0.08909280477384734,0.5345568286430841,No
Q1,Accomplishment,CROWD,LLaMA-8B,1900.0,0.018633334099446987,0.11180000459668192,No
Q1,Accomplishment,CROWD,Mistral-24B,1781.0,0.09919511707472342,0.5951707024483406,No
Q1,Accomplishment,GPT-5,LLaMA-8B,1622.0,0.5129500191389317,1.0,No
Q1,Accomplishment,GPT-5,Mistral-24B,1495.5,0.9206896894675687,1.0,No
Q1,Accomplishment,LLaMA-8B,Mistral-24B,1391.5,0.4661074436635172,1.0,No
Q2,Effort Required,CROWD,GPT-5,2535.0,2.19106778858554e-10,1.3146406731513238e-09,Yes
Q2,Effort Required,CROWD,LLaMA-8B,2705.0,4.2553794571627667e-13,2.55322767429766e-12,Yes
Q2,Effort Required,CROWD,Mistral-24B,2609.0,1.8174634423502072e-11,1.0904780654101243e-10,Yes
Q2,Effort Required,GPT-5,LLaMA-8B,1947.0,0.008776874694784791,0.05266124816870875,No
Q2,Effort Required,GPT-5,Mistral-24B,1661.5,0.3630091130476736,1.0,No
Q2,Effort Required,LLaMA-8B,Mistral-24B,1183.5,0.04741681343421489,0.28450088060528933,No
Q3,Mental Demand,CROWD,GPT-5,2451.5,6.5335024801096855e-09,3.920101488065811e-08,Yes
Q3,Mental Demand,CROWD,LLaMA-8B,2267.5,2.1522398850664888e-06,1.2913439310398933e-05,Yes
Q3,Mental Demand,CROWD,Mistral-24B,2163.0,5.643503414166708e-06,3.3861020485000245e-05,Yes
Q3,Mental Demand,GPT-5,LLaMA-8B,1003.0,0.0015538586753093913,0.009323152051856347,Yes
Q3,Mental Demand,GPT-5,Mistral-24B,837.0,3.2981461154570885e-06,1.9788876692742532e-05,Yes
Q3,Mental Demand,LLaMA-8B,Mistral-24B,1217.0,0.029472203246866988,0.17683321948120193,No
Q4,Controllability,CROWD,GPT-5,2167.5,7.210989294697776e-05,0.0004326593576818666,Yes
Q4,Controllability,CROWD,LLaMA-8B,2079.5,0.0006444889118134559,0.003866933470880736,Yes
Q4,Controllability,CROWD,Mistral-24B,2111.5,0.0002761938386474319,0.0016571630318845914,Yes
Q4,Controllability,GPT-5,LLaMA-8B,1456.0,0.7370415601321807,1.0,No
Q4,Controllability,GPT-5,Mistral-24B,1444.0,0.6811154927996341,1.0,No
Q4,Controllability,LLaMA-8B,Mistral-24B,1499.0,0.9378160715294175,1.0,No
Q5,Temporal Demand,CROWD,GPT-5,2416.0,2.2690001311788795e-08,1.3614000787073277e-07,Yes
Q5,Temporal Demand,CROWD,LLaMA-8B,2337.0,6.543147036853688e-07,3.925888222112213e-06,Yes
Q5,Temporal Demand,CROWD,Mistral-24B,2237.0,1.1060001900752948e-05,6.636001140451769e-05,Yes
Q5,Temporal Demand,GPT-5,LLaMA-8B,1175.0,0.03765635657619637,0.22593813945717822,No
Q5,Temporal Demand,GPT-5,Mistral-24B,529.5,1.7131825916290624e-09,1.0279095549774374e-08,Yes
Q5,Temporal Demand,LLaMA-8B,Mistral-24B,778.0,9.348017198650206e-06,5.608810319190124e-05,Yes
Q6,Trust,CROWD,GPT-5,1904.0,0.01689961716404547,0.10139770298427282,No
Q6,Trust,CROWD,LLaMA-8B,1486.0,0.8753551616864277,1.0,No
Q6,Trust,CROWD,Mistral-24B,1715.5,0.21707979270172717,1.0,No
Q6,Trust,GPT-5,LLaMA-8B,950.0,0.0007256135304599088,0.004353681182759453,Yes
Q6,Trust,GPT-5,Mistral-24B,1274.0,0.14896032702856543,0.8937619621713926,No
Q6,Trust,LLaMA-8B,Mistral-24B,1771.5,0.11992527131263377,0.7195516278758026,No
